KO	SRS011061	SRS011134	SRS011239	SRS011271	SRS011302
K00001	0.000447	0.000334	0.000639	0.000327	0.000432
K00002	5.127e-05	3.607e-05	2.400e-05	3.850e-05	5.362e-05
K00003	0.000192	0.000355	0.000282	0.000222	0.000649
K00004	4.989e-06	4.616e-06	9.452e-06	3.654e-06	3.806e-06
K00005	1.895e-05	0.000118	0.000104	3.893e-05	0.000769
K00006	5.252e-07	1.688e-06	3.075e-06	1.087e-06	3.340e-06
K00007	6.035e-07	2.598e-07	4.598e-07	1.398e-07	9.792e-08
K00008	2.920e-05	0.000129	6.552e-05	0.000103	0.000164
K00009	1.724e-05	1.647e-05	2.013e-05	1.126e-05	1.657e-05
K00010	8.112e-05	7.606e-05	7.899e-05	5.719e-05	4.497e-05
K00011	3.062e-05	3.765e-05	9.183e-06	6.797e-05	1.475e-05
K00012	0.00169	0.00124	0.00165	0.00115	0.00123
K00013	0.000514	0.000524	0.000500	0.000732	0.000706
K00014	0.000756	0.000649	0.000691	0.000931	0.000480
K00015	4.725e-05	3.241e-05	4.384e-05	2.277e-05	2.207e-05
K00016	0.000156	0.000300	0.000140	0.000188	0.000217
K00018	0.000270	0.000322	0.000357	0.000433	0.000416
K00019	6.833e-05	4.900e-05	3.555e-05	2.447e-05	2.143e-05
K00020	1.723e-05	4.037e-05	1.575e-05	1.229e-05	1.068e-05
K00021	1.016e-06	7.600e-07	4.500e-07	7.855e-07	1.060e-06
K00022	2.803e-06	4.418e-06	1.481e-06	1.518e-06	3.070e-06
K00023	6.505e-05	7.247e-05	7.556e-05	4.805e-05	7.536e-05
K00024	0.00149	0.000761	0.00114	0.000802	0.000350
K00025	9.454e-07	1.757e-06	2.103e-06	8.838e-06	3.162e-07
K00026	5.407e-06	4.042e-06	4.912e-06	2.747e-06	1.953e-06
K00027	0.000199	0.000401	0.000276	0.000249	0.000533
K00028	5.180e-06	6.824e-06	4.704e-06	4.502e-06	1.224e-05
K00029	0.000682	0.000394	0.000556	0.000588	0.000240
K00030	3.508e-05	7.474e-05	4.395e-05	5.603e-05	7.205e-05
K00031	0.000582	0.000593	0.000641	0.000789	0.000826
K00032	2.417e-06	1.710e-06	1.866e-06	5.396e-07	1.351e-06
K00033	0.000385	0.000198	0.000371	0.000145	0.000166
K00034	2.413e-05	4.142e-05	1.684e-05	1.455e-05	5.891e-05
K00035	1.152e-07	4.334e-07	2.417e-07	2.466e-07	4.669e-07
K00036	0.000368	0.000184	0.000359	0.000139	0.000100
K00037	2.916e-06	7.271e-07	1.178e-06	7.945e-07	1.074e-06
K00038	5.622e-06	5.810e-06	3.661e-06	3.464e-06	2.726e-06
K00039	1.520e-06	4.623e-06	2.782e-06	3.098e-06	1.118e-06
K00040	3.949e-05	0.000144	5.678e-05	0.000421	9.399e-05
K00041	0.000409	0.000290	0.000386	0.000568	0.000186
K00042	6.223e-06	4.422e-05	3.036e-05	1.179e-05	2.406e-05
K00043	1.333e-05	2.559e-05	1.392e-05	1.202e-05	1.165e-05
K00044	5.253e-06	5.111e-06	3.581e-06	2.375e-06	3.357e-06
K00045	3.009e-05	6.367e-06	5.426e-06	5.422e-06	6.079e-06
K00046	0.000858	0.000553	0.000626	0.000876	0.000388
K00048	0.000562	0.000491	0.000580	0.000369	0.000755
K00049	2.855e-07	2.925e-07	2.269e-07	1.505e-07	4.878e-07
K00050	3.218e-05	7.916e-05	4.493e-05	1.976e-05	7.811e-05
K00051	7.186e-07	6.441e-08	7.138e-07	2.707e-07	7.931e-07
K00052	0.000825	0.000661	0.000696	0.000800	0.000949
K00053	0.000871	0.000744	0.000683	0.000923	0.000951
K00054	1.174e-06	2.821e-06	3.080e-07	8.912e-07	9.955e-07
K00055	4.224e-06	5.664e-06	5.073e-06	2.731e-06	1.262e-06
K00057	0.000744	0.000773	0.000726	0.000868	0.000801
K00058	0.000846	0.000856	0.000903	0.000988	0.00101
