KO	SRS011061	SRS011134	SRS011239	SRS011271	SRS011302
K00001	0.470455464959	0.291101115395	0.637631459436	0.316471796728	0.389748899998
K00002	0.053960294605	0.0281350915517	0.0213808783758	0.0342276761284	0.0398717830781
K00003	0.202074830586	0.308023733716	0.289590023021	0.214852412457	0.579310824887
K00004	0.00477416267943	0.00359221789883	0.00855384615385	0.0032625	0.00298509803922
K00005	0.0175066592462	0.0893809591634	0.0920061097467	0.0344174896981	0.586594651637
K00006	0.000502583732057	0.00131361867704	0.00278280542986	0.000970535714286	0.00261960784314
K00007	0.000577511961722	0.000202178988327	0.000416108597285	0.000124821428571	7.68e-05
K00008	0.0307322138183	0.111251647219	0.0646797340311	0.095999305979	0.147960230555
K00009	0.0163598438594	0.0130012328919	0.0183160439053	0.0102488835265	0.0130345971373
K00010	0.0803780370358	0.0619390414568	0.0740826531957	0.0542627611602	0.037251416772
K00011	0.0293014354067	0.0292996108949	0.00831040723982	0.0606875	0.011568627451
K00012	1.75848154789	1.04369487238	1.65565877051	1.0889255252	1.06758901367
K00013	0.520172223825	0.440538204569	0.488125918408	0.70701384629	0.607887111287
K00014	0.795669645434	0.565642586501	0.7095982479	0.901025207197	0.433054333331
K00015	0.0452153110048	0.0252217898833	0.0396742081448	0.0203303571429	0.0173098039216
K00016	0.147080096328	0.232313048061	0.127094432506	0.164099633926	0.170295516416
K00018	0.284167730512	0.275339916536	0.34509986576	0.401012391383	0.375313755553
K00019	0.0639829636662	0.0403466392339	0.0318560767344	0.0235373476433	0.0169851138644
K00020	0.0170819076894	0.0337774538833	0.0145205253734	0.0118943069779	0.00882718874026
K00021	0.00097844767549	0.000588344364505	0.000408619873605	0.000706511159662	0.000821798722971
K00022	0.00268229665072	0.00343813229572	0.00134027149321	0.00135535714286	0.00240784313725
K00023	0.0578239458484	0.0571234967482	0.0660243836931	0.0447226777378	0.0550889481294
K00024	1.47019344885	0.596089909134	1.07782695803	0.725013906755	0.285904299575
K00025	0.000904688995215	0.0013673151751	0.00190316742081	0.00789107142857	0.000248
K00026	0.00517416267943	0.00314552529183	0.00444524886878	0.00245267857143	0.00153176470588
K00027	0.194309270799	0.316556720349	0.253632195268	0.221034878147	0.428344517856
K00028	0.00495693779904	0.00531050583658	0.00425701357466	0.00401964285714	0.0096
K00029	0.674874085015	0.33316599533	0.510357410198	0.543604625459	0.202992581002
K00030	0.0340762841733	0.057134425453	0.0402956472538	0.049885586213	0.0540315225116
K00031	0.566329615839	0.472768639029	0.59763728646	0.702630442639	0.66406837778
K00032	0.00231291866029	0.00133073929961	0.00168868778281	0.000481785714286	0.00105960784314
K00033	0.378043414747	0.159750367914	0.351740720658	0.131912531858	0.135706583546
K00034	0.0244673531338	0.0324136961282	0.0155318443791	0.0129245574853	0.0470640917717
K00035	0.000102087721636	0.000314670094954	0.00021119763815	0.000207546284356	0.000349068385113
K00036	0.367433461537	0.14939102667	0.348347975546	0.129827964306	0.0833371184023
K00037	0.00279043062201	0.000565836575875	0.00106606334842	0.000709375	0.000842352941176
K00038	0.00537990430622	0.00452140077821	0.00331312217195	0.00309285714286	0.00213803921569
K00039	0.00145454545455	0.00359766536965	0.00251764705882	0.00276607142857	0.000876862745098
K00040	0.0374158511501	0.114858120642	0.0510484789711	0.391443953228	0.0751760430889
K00041	0.363745268523	0.214779854846	0.33728708451	0.493778686767	0.137653210299
K00042	0.00617677615812	0.0343879407813	0.0274102473563	0.0107101954271	0.0192776386894
K00043	0.0127559808612	0.0199143968872	0.0125972850679	0.0107321428571	0.00913725490196
K00044	0.00502679425837	0.00397743190661	0.0032407239819	0.00212053571429	0.00263294117647
K00045	0.0287942583732	0.00495486381323	0.00491040723982	0.00484107142857	0.00476784313725
K00046	0.870578530731	0.436588344302	0.596200080249	0.805078172362	0.315732391497
K00048	0.511891489517	0.387058095027	0.506804427501	0.315283811649	0.610648971343
K00049	0.000273205741627	0.000227626459144	0.000205339366516	0.000134375	0.000382588235294
K00050	0.0318545232856	0.0658146725158	0.0395930274057	0.0185744927458	0.0703001274355
K00051	0.000687655502392	5.01245136187e-05	0.000645972850679	0.000241696428571	0.000622039215686
K00052	0.811931982504	0.529129025028	0.657424345496	0.735957979713	0.781161178068
K00053	0.841952625503	0.576080511537	0.638587836296	0.817840043923	0.767873849577
K00054	0.00105911193039	0.00209669417852	0.000269130627018	0.000753697660622	0.000754296784658
K00055	0.00404210526316	0.00440778210117	0.00459095022624	0.00243839285714	0.000989803921569
K00057	0.768865414777	0.65547979351	0.72966783899	0.832078450294	0.703140385616
K00058	0.877945767188	0.729390627829	0.892429159331	0.923719183544	0.91121849305
K00059	2.16267942584	1.45525291829	1.76470588235	1.54464285714	1.43529411765
K00060	0.0611914123387	0.0800682156339	0.109225092134	0.0519471676084	0.0396724068265
K00061	0.000143827751196	0.0002	0.000142352941176	0.000109553571429	7.44078431373e-05
K00062	5.21244019139e-05	3.23579766537e-06	0.0	0.0	0.0
K00063	0.00284114832536	0.000665680933852	0.000473484162896	0.000954464285714	0.000247921568627
K00064	0.0494028211508	0.0186106025745	0.0464530631455	0.0140041189561	0.0166770484614
K00065	0.0534575646489	0.0502821895216	0.0397193232621	0.0238290090392	0.0335766727919
K00066	0.00506698564593	0.00441167315175	0.00024814479638	0.00569196428571	0.000693568627451
K00067	1.19981930661	0.783532642934	0.880066133792	1.19039850145	0.370802772915
K00068	0.00738629479028	0.0134609680675	0.014094405889	0.0100911595678	0.013870248746
K00069	0.00797033492823	0.00444435797665	0.00273755656109	0.001325	0.00135764705882
K00070	0.00106315789474	0.00232295719844	0.00274932126697	0.000638928571429	0.00235294117647
K00071	0.000312248803828	0.00550194552529	0.000778009049774	0.000776696428571	0.00235137254902
K00072	0.000400765550239	0.000346770428016	0.000582714932127	7.48303571429e-05	3.8431372549e-05
K00073	0.000750717703349	0.00350505836576	0.00150226244344	0.00275714285714	0.000759058823529
K00074	0.0977617818039	0.325240536059	0.121787232865	0.191625124624	0.184185136657
K00075	0.602474579463	0.580990730096	0.655560196075	0.653766701898	0.553325473094
K00076	0.0678288196416	0.0295758482986	0.0264992495383	0.0208704209229	0.0247705748453
K00077	0.503082130314	0.290805589712	0.50368190111	0.180979284367	0.146173188681
K00078	0.0181244019139	0.0126070038911	0.0176470588235	0.0106875	0.0142274509804
K00079	0.00307655502392	0.00129260700389	0.00286334841629	0.00177946428571	0.00166823529412
K00081	1.75023923445e-06	0.000672217898833	1.78371040724e-05	6.51964285714e-06	9.56078431373e-05
K00082	0.114719565281	0.0429243411173	0.0387763094656	0.0163462038126	0.0330745247081
K00083	0.000289282296651	0.000934630350195	0.000412488687783	0.000995535714286	7.81568627451e-05
K00084	1.73588516746e-06	1.4560311284e-06	6.25339366516e-06	1.17857142857e-07	4.74117647059e-05
K00085	0.00316076555024	0.00343968871595	0.00325067873303	0.000608571428571	0.00162980392157
K00086	0.0154258373206	0.0138521400778	0.0197285067873	0.0167232142857	0.203921568627
K00087	0.0199744552577	0.0413899561108	0.0195294464735	0.0163529396662	0.0564353369827
K00088	1.13529308479	0.850486896312	1.17649785718	1.03404347743	1.05479333349
K00089	0.00434066985646	0.000104280155642	0.000121266968326	0.000266607142857	5.6431372549e-05
K00090	0.0295241559064	0.0148927891198	0.016748810356	0.0126753242079	0.0107109822529
K00091	0.00385591589611	0.0194665498886	0.0311057874953	0.011052317794	0.0302635521473
K00092	8.25550239234e-06	6.34319066148e-07	7.43529411765e-05	0.000123392857143	2.78823529412e-05
K00094	0.000859326941588	0.00475925812742	0.00325228634338	0.00523326356903	0.0290033763971
K00095	0.0	0.0	0.0	0.0	0.0
K00096	0.0224282012489	0.0835425878529	0.0422575512317	0.0947170469585	0.0377659466526
K00097	0.623399376648	0.310117309724	0.524136460284	0.368940957935	0.197399562926
K00098	0.00330381001342	0.00425849877155	0.00427056691532	0.00328446164524	0.00231304742353
K00099	0.757326919523	0.603674756933	0.798219499805	0.90470232899	0.653454667392
K00100	1.93655045979	1.17660630474	1.44534837954	1.33679831725	1.47058034027
K00101	0.00166932310372	0.00378966649333	0.00266649981539	0.00412264331155	0.0059254910455
K00102	0.0450606782416	0.0248858756401	0.0429804611457	0.0145654450787	0.0123617189401
K00103	1.66602870813e-05	0.0	5.18099547511e-05	0.0	1.94352941176e-05
K00104	0.0597079431188	0.0440535226837	0.127106431295	0.10161938427	0.0390663613875
K00105	0.000249459146186	0.00145210011515	7.58721179999e-05	0.000147790460393	0.000745534839479
