1	K00013:K00765:K00817:K01814:K02500:K02501
2	K00330:K00331:K00337:K00338:K00339:K00340:K00341:K00342:K00343
3	K00347:K00348:K00349:K00350:K00351
4	K00600:K00981:K01265:K01409:K01462:K01491:K01972:K02340:K02355:K02356:K02358:K02470:K03111:K03217:K03424:K03686:K03798:K04043:K06180
5	K00655:K00981:K01265:K01409:K01462:K01491:K01972:K02340:K02355:K02356:K02358:K02470:K03111:K03217:K03424:K03686:K03798:K04043:K06180:K07056
6	K02108:K02109:K02110:K02111:K02112:K02113:K02114:K02115
7	K02117:K02118:K02120:K02121:K02124
8	K02117:K02118:K02120:K02123:K02124
9	K02387:K02388:K02389:K02390:K02392:K02396:K02408:K02410:K02419:K02420:K02556
10	K02387:K02388:K02389:K02390:K02396:K02397:K02406:K02408:K02556
11	K02387:K02388:K02389:K02390:K02396:K02408:K02410:K02416:K02419:K02420:K02556
12	K01265:K01409:K02355:K02358:K02470:K02909:K02913:K02954:K03686:K04043
13	K03403:K03428:K04037:K04038:K04039:K04040
14	K00134:K00981:K01265:K01409:K01462:K01491:K01972:K02340:K02355:K02356:K02358:K02470:K02909:K03111:K03217:K03424:K03625:K03686:K03798:K04043:K06180
15	K01265:K01409:K01972:K02356:K02358:K02470:K03111:K03424:K03671:K03686:K03798
16	K05559:K05560:K05561:K05562:K05563:K05564
17	K05780:K05781:K06163:K06164:K06165:K06166
18	K03645:K03764:K05803:K07751:K07773:K09893:K09894:K09899
19	K06012:K06383:K06390:K06391:K06394:K06406
20	K06379:K06382:K06390:K06398:K06406:K06407
21	K06012:K06379:K06390:K06394:K06399:K06405:K06406
22	K03764:K05590:K07479:K07773:K09894:K09899
23	K03764:K07773:K09894:K09899:K09904
24	K00134:K01783:K02356:K03424:K11753
25	K12368:K12369:K12370:K12371:K12372
