Feature	Intercept	Avg	Std	Std/Avg	#species	#genes	avg-genes-per-species	std	length	%min_0.05	%min_0.1	%min_0.2	%min_0.3	%min_0.4	%min_0.5	mean_cons	med_cons	q1	q2	q3	q4	q5	q6	q7	q8	q9	GC_Max	GC_Min	GC_Mean	GC_Median	GC_Std	GC_MAD	Recall_normByKOtop20	Precision_normByKOtop20	Recall_highestGenes	Precision_highestGenes
1	1.000000	0.000000	0.000000	-0.002637	0.000000	0.014320	0.001193	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.013072	0.009272	0.000000	-0.008930	-0.009864	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003519	0.000000	0.000000	0.000000	0.000000	-0.040987	-0.052902	0.014505	0.000000	0.000000	0.012102
2	1.000000	0.000000	-0.014128	0.000000	0.002432	0.000000	0.000000	-0.004694	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.004343	-0.008632	-0.014021	0.000000	0.000000	0.004954	0.000000	0.000000	0.000000	0.000000	-0.003572	0.000000	-0.016927	-0.093330	0.000000	0.007864	0.000000	0.000000	0.011363
3	1.000000	0.000000	0.000000	-8.359649e-04	0.004736	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002368	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002563	0.000000	0.000000	0.000000	0.000000	0.000000	-0.042925	-0.050243	0.006791	0.000000	0.000000	0.010156
4	1.000000	0.000000	0.000000	0.000000	0.007401	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.028615	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.037932	-0.073825	-0.006252	0.019666	0.000000	0.000000	0.006652
5	1.000000	0.000000	-0.013352	0.000000	0.001405	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.023773	0.000000	0.000000	0.000000	0.001585	0.000000	0.000000	0.000000	-0.033537	0.000000	0.000000	-0.004195	-0.049738	-0.033100	0.000000	0.000000	0.000000	0.021257
6	1.000000	0.000000	0.000000	0.005225	0.009638	0.000000	0.000000	-0.005218	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.042907	0.000000	0.000000	0.000000	-0.001043	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.051566	-0.041310	-0.022987	0.000000	0.000000	0.000000	0.010658
7	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.011716	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
8	1.000000	-0.012075	0.000000	0.000000	0.017040	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.018394	0.000000	-0.002277	0.000000	0.000000	0.000000	-0.010274	-4.725319e-04	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.006822	0.000000	-0.029667	-0.068669	-0.009594	0.020296	0.000000	0.000000	0.012899
9	1.000000	0.000000	-0.005451	0.000000	0.013360	0.000000	0.000000	-0.003605	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.011205	-0.014034	0.000000	0.000000	0.006998	0.000000	0.000000	0.000000	0.000000	-0.010563	0.000000	-0.038475	-0.091007	0.000000	0.002031	0.000000	0.000000	0.006229
10	1.000000	0.000000	0.000000	-0.004088	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.001507	-0.010473	-0.001954	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.089511	0.000000	0.008854	0.000000	0.000000	0.006198
11	1.000000	0.000000	0.000000	0.000000	7.236338e-04	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.536514e-04	0.000000	0.000000	3.005846e-05	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.019993	0.000000	-0.037878	0.000000	0.000000	0.000000	0.000000
12	1.000000	-5.423228e-04	-0.014379	0.000000	0.004763	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.009473	-0.001417	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.011644	0.000000	0.000000	-0.013475	-0.059383	-0.023785	0.014025	0.000000	0.000000	0.013811
