KO	Simulated_1	Simulated_2	Simulated_3	Simulated_4	Simulated_5	Simulated_6	Simulated_7	Simulated_8	Simulated_9	Simulated_10	Simulated_11	Simulated_12	Simulated_13	Simulated_14	Simulated_15	Simulated_16	Simulated_17	Simulated_18	Simulated_19	Simulated_20
K00001	0.0001733746211	2.1887349375e-05	0.0001636826509	2.9824856995e-05	0	0.0003535346460	0.0005296585462	8.2436682590e-05	4.0245043805e-06	0.0002546965305	0.0002343297326	1.8280724896e-05	0.0002412770820	0.0001923988061	0.0003406927575	7.6261692363e-07	0.0005277841614	0.0001109864140	0.0003669692967	0.0002988070259
K00002	4.5729403534e-06	0	0	0	1.3380744339e-05	1.6822033181e-05	1.4296901813e-05	0	8.5124194098e-06	0	4.4669393537e-06	9.1921745106e-06	0	4.1879432150e-06	0	5.5751919038e-06	4.2923460654e-06	0	0	1.2525997735e-05
K00003	0.0005358938852	0.0004920680577	0.0006699156745	0.0005100009743	0.0005582094287	0.0004652317350	0.0003782413875	0.0006098351492	0.0005223511804	0.0005296323101	0.0005241375118	0.0003466408734	0.0003795137193	0.0004967031644	0.0005741341958	0.0005236982782	0.0004709586818	0.0007350120893	0.0004949191099	0.0005887121577
K00005	8.4943272000e-06	1.2135701105e-05	8.2166027167e-06	3.7143212627e-06	7.8707491771e-05	8.9835871131e-05	9.5604400940e-05	0	8.6965931279e-05	0	0.0001078665671	0.0001152538608	1.1964018453e-05	0.0001322461857	8.7376997637e-06	7.3786708680e-05	2.3919353272e-05	0	1.6481587649e-05	0.0001279700876
K00007	0.0002484347523	0.0001549114990	0.0002249196125	5.7014218302e-05	0.0001980840481	0.0001016225978	0.0001193948454	4.6474850387e-05	0.0001432811429	0.0001993164420	0.0002642467653	0.0002940200082	0.0001042440977	0.0001683841996	0.0002961389558	8.8992706760e-05	0.0002214258522	2.7717567859e-06	0.0001278897346	0.0001418986118
K00008	0.0002703231496	0.0001400833697	0.0002506416587	2.8406594495e-05	0.0001841313535	0.0001496170134	0.0001419705946	1.3880366065e-05	9.9613887003e-05	9.8709182082e-05	0.0002674323880	0.0001696660489	0.0001072710862	7.5146177209e-05	0.0002993055156	0.0001126200885	0.0002318375383	1.0225029161e-05	8.8024152605e-05	0.0001080292426
K00010	0.0005427852245	0.0003033568200	0.0005073858783	9.5402309480e-05	0.0004390798464	0.0005509904022	0.0006074551372	3.5901941637e-05	0.0004352097752	0.0002865524502	0.0007417892189	0.0008381734717	0.0001811202350	0.0005096555217	0.0006283472661	0.0004242985033	0.0005590111982	7.8600269582e-06	0.0002884480497	0.0006367107478
K00011	0	0	0	0	0	2.6720919132e-06	8.5389149315e-05	0	0	0	0	0	3.6376758874e-06	0	5.9775960477e-06	0	0	0	6.2953813957e-05	0
K00012	0.0005293121714	0.0005283267422	0.0005266508390	0.0006086300859	0.0005512755247	0.0005631140834	0.0007085622832	0.0004780740753	0.0006062273863	0.0007682162128	0.0006092340305	0.0006642295726	0.0007737883508	0.0007657505932	0.0004677851451	0.0005523848934	0.0006948762788	0.0004192662033	0.0004593456886	0.0006935715343
K00013	0.0004044207386	0.0004871443813	0.0003632978489	0.0006096055658	0.0004419760564	0.0004314824436	0.0003877101964	0.0005346281922	0.0004590277807	0.0005350974866	0.0004376854701	0.0004410147490	0.0004451323869	0.0004660627066	0.0003198758115	0.0005274274975	0.0003807778351	0.0005718334004	0.0002967580647	0.0003904776436
K00014	0.001140298317	0.0009704659522	0.0008215607827	0.0006813174886	0.001029426099	0.001056571597	0.0009890900382	0.0006682787644	0.001118307183	0.0009997321517	0.001143307515	0.001142114999	0.0007078861248	0.001346363910	0.001233128288	0.001095153155	0.0009794450198	0.0005404366493	0.0006107127246	0.001270940545
K00015	4.6122220511e-05	3.6774927513e-05	3.2264782721e-05	2.1290897070e-05	3.2689973866e-05	0.0001546367990	4.5425433106e-05	3.9432133741e-05	2.1655576949e-05	6.4066941436e-05	4.1920654397e-05	1.6223161948e-05	4.6259715709e-05	7.2277452331e-05	1.5899626517e-05	1.7207072213e-05	0.0001226874974	0.0001197031331	1.3527801595e-05	5.5296150556e-05
K00016	0	0	0	0	0	1.6966635185e-05	9.8021665623e-05	0	0	0	0	0	0	0	2.3721978584e-05	0	0	0	0.0001212903943	0
K00018	3.3534895925e-06	6.3880982207e-06	0	3.7105060514e-05	3.7205903011e-05	0.0001230198058	9.7920289780e-05	7.2441837764e-05	0.0001639628464	7.7274741283e-06	1.8016655393e-05	5.2242191802e-05	1.9132333306e-05	4.6841617435e-05	2.6133363694e-05	4.6228220969e-05	1.5738602240e-05	1.6739534908e-05	8.7658722680e-05	4.0953053707e-05
K00019	0.0004859976253	0.0003807794804	0.0004460670383	0.0001076549054	0.0004864160299	0.0004536779484	0.0005227624522	0.0001848324365	0.0004138386019	0.0003259911724	0.0004938907523	0.0006642399327	0.0004413521213	0.0004362074771	0.0006019552473	0.0002708961124	0.0005146494731	0.0001205697737	0.0005650169001	0.0004632191741
K00020	0.0007770820307	0.0002553649606	0.0005686013840	9.4938403757e-05	0.0002675827855	0.0006202354272	0.0009234183572	0.0001166454400	0.0001720470296	0.0004872370986	0.0007828876942	0.0003538938462	0.0008458150013	0.0005018261310	0.001320003752	0.0002090021055	0.0008415725470	7.6309365481e-05	0.001119964886	0.0005488177335
K00023	0.0006233084981	0.0004261305146	0.0005970682262	0.0001190405772	0.0004932107860	0.0007845190471	0.001044415036	0.0002259378907	0.0002601819085	0.0006658693393	0.0007167473202	0.0006504719769	0.0009616023988	0.0005663616591	0.0008299940599	0.0003264324695	0.001017158458	0.0003311299102	0.0008638402808	0.0006939497497
K00024	0.0002651588794	0.0003083509228	0.0001898423501	0.0006115692239	0.0002828191350	0.0002975720255	0.0002119240751	0.0001397055050	0.0001600785488	0.0003165784364	0.0002444234821	0.0002320613656	0.0002629951329	0.0001843618038	0.0003078707990	0.0001347141692	0.0002534338700	0.0003302827480	0.0003527897332	0.0001791240884
K00027	0	0.0001362486665	8.0458749424e-06	2.9481209604e-05	0	0	0	3.5282744866e-06	0	0	1.6250042093e-05	0.0001183631742	0	0	0	0	0	0	0	0
K00029	0.0007093038697	0.0006822386813	0.0007721075491	0.0007005406692	0.0005914852417	0.0005621735957	0.0006464023816	0.0006550492401	0.0006994448479	0.0006720924820	0.0006613100802	0.0007648505489	0.0006415761325	0.0007517285256	0.0008437273958	0.0005743684184	0.0005747171210	0.0004874437472	0.0007628413643	0.0006173952210
K00030	0	1.3210443213e-05	1.3448675033e-05	0	0	9.3536101029e-05	0.0001308408392	5.8050474811e-05	1.2909227156e-05	4.1764283385e-06	0	0	0	4.2605665078e-06	1.9142128384e-05	0	4.3416833765e-06	0.0001670940562	0.0001038078031	2.9545122522e-05
K00031	0.0004913156315	0.0004361218660	0.0005487226301	0.0005211517905	0.0003535155110	0.0006406386501	0.0005217217356	0.0006113769602	0.0004472342137	0.0006191070254	0.0005653909267	0.0003079598571	0.0007168563635	0.0006364337901	0.0006022522321	0.0004793088498	0.0007105289061	0.0005753688815	0.0006411680930	0.0005916491700
K00032	9.7852583854e-06	4.6600108601e-06	4.7326632669e-06	1.7115231107e-05	8.1124999117e-05	0.0001394944248	0.0001629064605	0	8.1978719763e-05	0	7.1688266832e-05	0.0001426300124	0	7.6172195133e-05	1.2582022076e-05	8.5014217488e-05	0	0	0.0001115450307	0.0001340222017
K00033	0.0003995544375	0.0004401451252	0.0005777656363	0.0005753016614	0.0005537286325	0.0002714607213	0.0001763303418	0.0006239134833	0.0003464606811	0.0006357570730	0.0004867125344	0.0002664740981	0.0002804328565	0.0003486840537	0.0004008676230	0.0005535527122	0.0006733384942	0.0008300734780	0.0001213296519	0.0005620344626
K00034	0	0	0	5.4989365570e-06	0	0.0001329991998	0.0001061544959	0	0	0.0001185387824	8.5988582560e-05	0	0.0001239864881	9.7893172651e-05	0	0	0.0001711572993	0	1.8300356599e-05	0.0001205627282
K00036	0.0004978184385	0.0004476073169	0.0006602247526	0.0006007878349	0.0005782345776	0.0006744012230	0.0007128354335	0.0006435036766	0.0006296822518	0.0007598220046	0.0007245177164	0.0005351145660	0.0006864679517	0.0006578491976	0.0007852737093	0.0006648802305	0.0006932742507	0.0007403526464	0.0007187345919	0.0008299837686
K00038	1.2800647050e-05	1.2167806134e-05	4.1123907870e-05	0	0	0	0	8.4760807486e-05	0	0.0002355231063	1.2508070490e-05	0	0	0.0001481825698	1.5361967591e-05	0	0	0	0	0
K00040	0.0001275672425	8.1356519265e-05	0.0001008016975	0	0.0001175961424	1.3446984749e-05	0.0001122206083	3.1861442103e-05	5.5042742250e-05	0.0001121132518	7.6612941022e-05	0.0001130877870	8.1700234121e-05	6.9517479391e-05	0.0001144238831	7.7804002902e-05	1.1767869266e-05	2.9296131875e-05	0.0002160087452	2.9995211217e-06
K00041	0.0001584654149	0	0.0001169843469	0	0	1.5340299688e-05	0	0	0	0	5.7028697242e-05	2.5151857870e-05	0	0	0.0001758745034	0	0	0	9.7096192527e-05	0
K00042	0.0004092230884	0.0002330225435	0.0003314435999	9.1881874382e-05	0.0002614177786	0.0006029726464	0.0005723940485	0.0001720779006	0.0002872252310	0.0002837217025	0.0004499916714	0.0002566600206	0.0006312263332	0.0003141413516	0.0006037882442	0.0001905370095	0.0005395128718	0.0003230497835	0.0007406656059	0.0003571509842
K00043	0.0001198194669	8.3754122136e-05	7.5453940720e-05	1.2602659325e-05	0.0001808680900	2.4930397570e-05	8.0362061712e-05	4.5867568326e-06	6.8472944639e-05	0	7.8408432166e-05	0.0001016401067	0.0001219978408	3.8590471510e-06	8.8586685940e-05	6.4122632337e-05	7.8762146454e-06	2.8156306710e-05	0.0001771483035	8.4643391329e-06
K00045	9.8350814933e-06	9.3674760060e-06	2.2198214875e-05	0	6.0753848027e-05	0.0001085380878	0.0001076198556	0	8.5436258353e-05	0	5.7642622699e-05	0.0001153234113	0	0.0001050824040	0	9.5925094101e-05	2.1540408768e-05	0	6.3610200807e-06	0.0001107526099
K00046	1.2526653730e-05	1.7807910680e-05	2.4234182331e-05	5.4775399167e-06	7.9416713487e-05	8.6005362454e-05	0.0002733189134	0.0001035257104	0.0001515674366	0.0001051547148	8.5653996635e-05	0.0001196055702	0.0002309180326	0.0001478911147	6.9786560460e-05	7.4451589938e-05	2.3516043813e-05	3.0227369872e-05	0.0003530031937	0.0001429685863
K00050	7.8882919371e-06	0.0001136112386	1.1107301159e-05	0.0004517822253	0	0.0002268206299	0.0003581234374	6.6495670605e-05	0.0001348466874	9.2236864158e-05	3.6146267874e-06	0	0.0003915211666	2.2437382682e-05	0.0001701651531	1.3054107872e-05	0	0.0002421192178	0.0006548384919	1.8006052872e-05
K00052	0.0004276782282	0.0004591975991	0.0004625557959	0.0005128742628	0.0004821922364	0.0003946559027	0.0003549719677	0.0005970693526	0.0003798562073	0.0004944301080	0.0003626691285	0.0003771796628	0.0004310169949	0.0004240664481	0.0003731662836	0.0004908328608	0.0004132557485	0.0007041239586	0.0003564173946	0.0004234449346
K00053	0.0005649964501	0.0007673813077	0.0005144914159	0.0006768240479	0.0006483797415	0.0004404197669	0.0003733509812	0.0006300816923	0.0006073626811	0.0005652406257	0.0005948498911	0.0006511126228	0.0004297991793	0.0004688444961	0.0004862904582	0.0006647646084	0.0003978941810	0.0006128050309	0.0003606474243	0.0005051873531
K00055	0.0001502363337	0	0.0001038030809	7.2610189751e-05	0	0.0001083114643	0	4.0287525524e-05	8.1423142180e-05	0	0.0001090171439	4.3141939036e-06	2.0520150588e-05	0	0.0002521006697	0	0	1.4374165845e-05	0.0001208810093	0
K00057	0.0004755557601	0.0004167045510	0.0004841873057	0.0005845680405	0.0004518237962	0.0003986711315	0.0003104435436	0.0006009930967	0.0004728193448	0.0004900181756	0.0004772668596	0.0003525945927	0.0004404705861	0.0004341055299	0.0003729326529	0.0004795245413	0.0003232786189	0.0005848230877	0.0003803804828	0.0003954709736
K00058	0.0004070187850	0.0005519368621	0.0005123511559	0.0006212820682	0.0007712347130	0.0008108438038	0.0009398087314	0.0003179941995	0.0006119265069	0.0005850541894	0.0007345848744	0.0007288088608	0.0007594749122	0.0005264599671	0.0006277888313	0.0005069703838	0.0006496796181	0.0004872209439	0.0009436244022	0.0006885435554
K00059	0.002701340640	0.001929250334	0.002447454438	0.001488343097	0.001768879555	0.002168835072	0.003243376869	0.001865578184	0.001856704677	0.002495856004	0.002626606011	0.001931792338	0.002425622351	0.002320168638	0.003523415118	0.001953732325	0.002812735542	0.001496383462	0.003413452244	0.002260045196
K00060	0.0001552097418	0.0001557225657	0.0001997114919	4.5248592248e-05	0.0001049589239	0.0001601258630	0.0001324127634	5.5145559292e-05	7.3883730979e-05	0.0002281151895	0.0001786629110	0.0001884384334	0.0001678989980	0.0001594558111	0.0002081023004	6.0147055746e-05	0.0002517506596	0	0.0001141063463	9.8831851266e-05
K00064	0.0001376544825	1.0860306290e-05	0.0001122192296	1.2150605184e-05	6.2301878407e-05	0.0001445523581	0.0002138056580	4.3645274773e-05	9.9086363500e-05	5.5337442780e-05	0.0001861110473	0.0001631447657	0.0002006355306	0.0001591230638	0.0003293311512	8.5663266078e-05	1.9985526654e-05	1.1702860688e-05	0.0003575651914	0.0001321967732
K00065	0.0001698702168	0.0002098946558	0.0001155620237	5.5076650277e-05	0.0002958365757	0.0001250447764	0.0001762917351	1.0529694171e-05	0.0002063163875	5.6447039263e-06	0.0001236207740	0.0002986271217	5.9041184814e-06	0.0001169965088	3.8807674341e-05	0.0001561468553	1.7799609676e-05	1.0331431701e-05	2.1956941081e-05	0.0001981129033
K00066	1.1075745443e-05	1.4065537366e-05	7.1424138294e-06	9.6641359365e-06	0.0001008015514	0.0001018117779	0.0001142466197	0	9.9649974008e-05	0	6.8446456818e-05	0.0001261351296	0	9.1266372377e-05	0	0.0001080026674	2.0768600444e-05	6.0661617329e-06	1.7908605846e-05	0.0001010812494
K00067	0.0006527044251	0.0007553158497	0.0008274583886	0.0006536122758	0.0007957726248	0.0008076828297	0.0005981950427	0.0006970448178	0.0006621079660	0.0006365373355	0.0006749820712	0.0005485310129	0.0005418631339	0.0007045417961	0.0008940896681	0.0006543619747	0.0006631771984	0.0009987506000	0.0006875806495	0.0007066773263
K00074	0.0006133893392	0.0002825318653	0.0004304821979	9.3010899832e-05	0.0003065777024	0.0007276796738	0.0008980402044	0.0001160967584	0.0002703170750	0.0005507071176	0.0007931205742	0.0003841654547	0.0009195191619	0.0007060503906	0.001078304728	0.0002988086002	0.0008336298017	3.9091314205e-05	0.0008353429997	0.0007504694085
K00075	0.0004042068115	0.0003989991433	0.0005245731393	0.0005910458113	0.0003706083883	0.0004379169719	0.0004275221511	0.0005886381537	0.0004755878634	0.0004621294526	0.0004248593124	0.0003730522392	0.0003997843536	0.0004319523484	0.0003652500651	0.0004879427745	0.0003848015996	0.0005007587144	0.0003432957607	0.0004034525275
K00077	0.001164443576	0.0003672677965	0.001053461581	0.0001490017289	0.0005591853850	0.001135835355	0.001209932975	0.0002371944532	0.0003206996813	0.001035936360	0.001292482272	0.0006592953371	0.0008784097632	0.001073863986	0.001707563148	0.0003472584467	0.001530819375	0.0001379835873	0.001173888051	0.001076734494
