KO	Avg	Std	Std/Avg	#species	#genes	avg-genes-per-species	std	length	%min_0.05	%min_0.1	%min_0.2	%min_0.3	%min_0.4	%min_0.5	mean_cons	med_cons	q1	q2	q3	q4	q5	q6	q7	q8	q9	GC_Max	GC_Min	GC_Mean	GC_Median	GC_Std	GC_MAD	Recall_normByKOtop20	Precision_normByKOtop20	Recall_highestGenes	Precision_highestGenes
K00001	1074.763780	132.252176	0.123052	451.000000	762.000000	1.689579	1.265386	763.000000	2.183000	1.800000	1.343000	0.955000	0.495000	0.287000	0.082000	0.011700	0.001310	0.002620	0.003930	0.006550	0.011700	0.018300	0.035300	0.125000	0.322000	0.792000	0.253000	0.559000	0.599000	0.131000	0.102000	0.850882	0.787719	0.727574	0.951303
K00002	1059.073171	236.685064	0.223483	39.000000	41.000000	1.051282	0.320256	95.000000	13.926000	12.631000	11.589000	10.547000	8.378000	5.421000	0.214000	0.031500	0.010500	0.010500	0.010500	0.021000	0.031500	0.115000	0.357000	0.463000	0.652000	0.683000	0.273000	0.494000	0.489000	0.095000	0.073800	0.336058	0.917944	0.725832	1.000000
K00003	1246.143548	127.053742	0.101958	1661.000000	1860.000000	1.119807	0.395120	1544.000000	0.946000	0.890000	0.827000	0.684000	0.492000	0.357000	0.119000	0.003880	6.470000e-04	0.001290	0.001290	0.001940	0.003880	0.007770	0.020700	0.255000	0.476000	0.769000	0.099200	0.514000	0.521000	0.135000	0.123000	0.964358	0.997060	0.966831	1.000000
K00005	1104.587537	53.769462	0.048678	557.000000	674.000000	1.210054	0.461511	607.000000	2.082000	1.873000	1.825000	1.719000	1.337000	1.009000	0.266000	0.052700	0.001640	0.003290	0.004940	0.014800	0.052700	0.322000	0.429000	0.576000	0.774000	0.757000	0.269000	0.507000	0.528000	0.099800	0.062300	0.976457	0.997556	0.982863	1.000000
K00008	1063.067485	53.847149	0.050653	244.000000	326.000000	1.336066	0.674163	314.000000	4.089000	3.729000	3.414000	3.012000	2.130000	1.493000	0.196000	0.028600	0.003180	0.006360	0.009550	0.012700	0.028600	0.063600	0.312000	0.423000	0.611000	0.762000	0.319000	0.505000	0.478000	0.124000	0.102000	0.831782	0.821522	0.678280	0.923077
K00009	1142.167347	67.921588	0.059467	479.000000	490.000000	1.022965	0.163304	518.000000	2.343000	2.277000	2.250000	2.193000	1.884000	1.376000	0.180000	0.003860	0.001930	0.001930	0.001930	0.001930	0.003860	0.005790	0.042400	0.461000	0.691000	0.747000	0.188000	0.463000	0.506000	0.113000	0.065500	0.991001	0.998853	0.988897	0.999621
K00010	1007.385020	82.267137	0.081664	459.000000	761.000000	1.657952	0.888179	783.000000	1.532000	1.395000	1.303000	1.238000	0.922000	0.616000	0.159000	0.006380	0.001270	0.001270	0.002550	0.003830	0.006380	0.015300	0.098300	0.398000	0.563000	0.778000	0.305000	0.584000	0.601000	0.114000	0.085800	0.962629	0.964852	0.964499	1.000000
K00012	1301.377644	130.314343	0.100136	1579.000000	1986.000000	1.257758	0.543479	2020.000000	0.761000	0.715000	0.655000	0.573000	0.420000	0.308000	0.083600	0.002470	4.950000e-04	9.900000e-04	9.900000e-04	0.001480	0.002470	0.002470	0.004450	0.016800	0.380000	0.764000	0.247000	0.517000	0.508000	0.128000	0.113000	0.989483	0.989322	0.988820	0.997137
K00013	1303.330531	77.417984	0.059400	1853.000000	1903.000000	1.026983	0.168610	1716.000000	0.882000	0.822000	0.752000	0.688000	0.519000	0.371000	0.091400	0.001160	5.820000e-04	5.820000e-04	5.820000e-04	5.820000e-04	0.001160	0.001740	0.003490	0.015700	0.415000	0.789000	0.145000	0.552000	0.570000	0.125000	0.098900	0.973329	0.998273	0.977765	1.000000
K00014	839.627608	54.269089	0.064635	2087.000000	2876.000000	1.378055	0.799903	2876.000000	0.420000	0.363000	0.275000	0.211000	0.145000	0.096300	0.060100	0.001730	3.470000e-04	3.470000e-04	6.950000e-04	0.001040	0.001730	0.003120	0.006950	0.021500	0.216000	0.801000	0.160000	0.529000	0.521000	0.142000	0.124000	0.953242	0.991210	0.954153	0.997832
